state,year,total_mw,rps_target,rps_active,solar_active,state_control,avg_retail_price_kwh,mil_metric_tons
AL,2014,0,0,0,0,Rep,17.05,33.6
AK,2014,0,0,0,0,Rep,12.65,15.3
AZ,2014,1122.5999999999997,0.045,1,0,Rep,15.35,37.8
AR,2014,0,0,0,0,Divided,15.22,22.1
CA,2014,4491.499999999997,0.217,1,0,Dem,15.41,212.9
CO,2014,129.6,0.08497322700312274,1,0,Dem,14.57,33.1
CT,2014,10,0.14,1,0,Dem,13.95,21.3
DE,2014,29.6,0.1,1,1,Dem,16.25,7.2
FL,2014,75.10000000000001,0,0,0,Rep,9.36,113.7
GA,2014,68.60000000000001,0,0,0,Rep,9.06,66.7
HI,2014,32.20000000000002,0.1,1,0,Dem,11.03,17.7
ID,2014,0,0,0,0,Rep,9.73,11.2
IL,2014,31.900000000000002,0.08,1,0,Dem,10.57,79.7
IN,2014,91.00000000000001,0,0,0,Rep,8.15,51.5
IA,2014,0,0.008216861588883248,1,0,Divided,10.16,27
KS,2014,0,0.07262776476014446,1,0,Rep,9.52,24.7
KY,2014,0,0,0,0,Divided,9.11,39.2
LA,2014,0,0,0,0,Rep,8.84,86.3
ME,2014,0,0.37,1,0,Divided,8.41,12.9
MD,2014,67,0.08939443928782033,1,1,Dem,9.05,33.3
MA,2014,290.6000000000001,0.14250000000000002,1,1,Dem,11.22,39.2
MI,2014,0,0.06111392958920216,1,0,Rep,12.11,58.6
MN,2014,1.7,0.14687418652519568,1,0,Dem,10.77,39.7
MS,2014,0,0,0,0,Rep,10.03,25.4
MO,2014,7.7,0.05,1,1,Divided,12.1,42.8
MT,2014,0,0.1,1,0,Divided,9.33,11.6
NE,2014,0,0,0,0,Rep,9.67,16.2
NV,2014,541.8,0.18,1,0,Divided,9.17,19.2
NH,2014,0,0.07200000000000001,1,1,Divided,7.65,10.6
NJ,2014,392.40000000000003,0.12527,1,1,Divided,9.27,59.1
NM,2014,250.70000000000002,0.1,1,1,Divided,8.15,16.6
NY,2014,53.2,0.3756171300061175,1,0,Dem,9.6,96
NC,2014,681.4,0.029999999999999995,1,1,Rep,9.4,56.8
ND,2014,0,0,0,0,Rep,7.9,16.1
OH,2014,36.7,0.025,1,1,Rep,8.09,73.2
OK,2014,0,0,0,0,Rep,8.18,37.2
OR,2014,13.9,0.034229786840253094,1,0,Dem,8.94,22.4
PA,2014,48.49999999999999,0.107,1,1,Rep,10.18,82.2
RI,2014,6.9,0.085,1,0,Dem,10.06,5.7
SC,2014,2.5,0,0,0,Rep,7.93,33
SD,2014,0,0,0,0,Rep,8.59,7.8
TN,2014,47.50000000000001,0,0,0,Rep,9.73,45
TX,2014,186.6,0.053301961881727415,1,0,Rep,9.65,297.5
UT,2014,1.3,0,0,0,Rep,8.35,19.2
VT,2014,30.299999999999997,0,0,0,Dem,7.76,5.3
VA,2014,0,0,0,0,Divided,15.15,57.6
