"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvvo&endsec=g&freq=A&start=2014&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Mon Jul 28 2025 17:08:14 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,
"All sectors : United States",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,
"All sectors : New England",,"ELEC.PRICE.NEW-ALL.A",,,,,,,,,,,
"All sectors : Connecticut","cents per kilowatthour","ELEC.PRICE.CT-ALL.A",17.05,17.77,17.24,17.55,18.41,18.66,19.13,18.32,21.08,24.24,24.47
"All sectors : Maine","cents per kilowatthour","ELEC.PRICE.ME-ALL.A",12.65,12.78,12.80,13.02,13.44,14.04,13.54,13.96,17.44,20.84,19.62
"All sectors : Massachusetts","cents per kilowatthour","ELEC.PRICE.MA-ALL.A",15.35,16.90,16.48,17.12,18.50,18.40,18.19,19.06,21.27,23.21,23.98
"All sectors : New Hampshire","cents per kilowatthour","ELEC.PRICE.NH-ALL.A",15.22,16.02,15.66,16.17,17.01,17.15,16.63,17.37,21.07,22.96,20.59
"All sectors : Rhode Island","cents per kilowatthour","ELEC.PRICE.RI-ALL.A",15.41,17.01,16.28,16.42,18.10,18.49,18.54,18.44,19.30,21.62,23.85
"All sectors : Vermont","cents per kilowatthour","ELEC.PRICE.VT-ALL.A",14.57,14.41,14.46,14.60,15.13,15.36,16.33,16.34,16.99,17.53,18.52
"All sectors : Middle Atlantic",,"ELEC.PRICE.MAT-ALL.A",,,,,,,,,,,
"All sectors : New Jersey","cents per kilowatthour","ELEC.PRICE.NJ-ALL.A",13.95,13.74,13.38,13.32,13.23,13.42,13.63,14.01,14.80,15.27,16.40
"All sectors : New York","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",16.25,15.28,14.47,14.74,14.83,14.34,14.87,16.11,18.33,18.28,19.66
