Custom chart annual
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=1,0&geo=vvvvvvvvvvvvo&endsec=g&linechart=ELEC.SALES.US-ALL.A&columnchart=ELEC.SALES.US-ALL.A&map=ELEC.SALES.US-ALL.A&freq=A&start=2014&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=ELEC.SALES.US-ALL.A&rse=0&maptype=0&utm_source=chatgpt.com
13:37:03 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,Retail sales of electricity : United States : all sectors : annual million kilowatthours
2024,3961889.85955
2023,3874253.3622
2022,3927169.06934
2021,3805874.25317
2020,3717674.48087
2019,3811150.46304
2018,3859185.26084
2017,3723355.97399
2016,3762461.6298
2015,3758992.38937
2014,3764700.26701
2013,3724867.82103
2012,3694649.78562
2011,3749846.18003
2010,3754841.36823
2009,3596795.1339
2008,3733964.61911
2007,3764560.71198
2006,3669918.84001
2005,3660968.51301
2004,3547479.483
2003,3493734.48598
2002,3465466.01103
2001,3394458.104
