"Retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/5?agg=1,0&geo=vvvvvvvvvvvvo&endsec=g&linechart=ELEC.SALES.US-ALL.A&columnchart=ELEC.SALES.US-ALL.A&map=ELEC.SALES.US-ALL.A&freq=A&start=2014&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=ELEC.SALES.US-ALL.A&rse=0&maptype=0&utm_source=chatgpt.com"
"Sat Jul 12 2025 13:34:47 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pinned series",,,,,,,,,,,,
"Retail sales of electricity : United States : all sectors : annual","million kilowatthours","ELEC.SALES.US-ALL.A",3764700,3758992,3762462,3723356,3859185,3811150,3717674,3805874,3927169,3874253
"Retail sales of electricity","million kilowatthours",,,,,,,,,,,
"All sectors","million kilowatthours","ELEC.SALES.US-ALL.A",,,,,,,,,,
"All sectors : United States","million kilowatthours","ELEC.SALES.US-ALL.A",3764700,3758992,3762462,3723356,3859185,3811150,3717674,3805874,3927169,3874253
"All sectors : New England","million kilowatthours","ELEC.SALES.NEW-ALL.A",119983,120170,117802,115458,118634,114458,111846,113799,114491,111329
"All sectors : Connecticut","million kilowatthours","ELEC.SALES.CT-ALL.A",29354,29476,28931,28136,28834,27900,27114,27738,27767,26685
"All sectors : Maine","million kilowatthours","ELEC.SALES.ME-ALL.A",12003,11888,11449,11214,12355,11732,11347,11585,11876,11336
"All sectors : Massachusetts","million kilowatthours","ELEC.SALES.MA-ALL.A",54469,54621,53476,52513,53285,51337,50009,50798,50983,50012
"All sectors : New Hampshire","million kilowatthours","ELEC.SALES.NH-ALL.A",10944,10999,10905,10787,11046,10712,10694,10867,10818,10631
"All sectors : Rhode Island","million kilowatthours","ELEC.SALES.RI-ALL.A",7643,7665,7524,7385,7583,7350,7352,7398,7576,7301
"All sectors : Vermont","million kilowatthours","ELEC.SALES.VT-ALL.A",5570,5521,5516,5424,5531,5428,5331,5413,5470,5364
"All sectors : Middle Atlantic","million kilowatthours","ELEC.SALES.MAT-ALL.A",367926,370747,368490,361366,374923,365097,352126,357834,362698,349230
"All sectors : New Jersey","million kilowatthours","ELEC.SALES.NJ-ALL.A",73866,75490,75359,73383,76017,73917,71998,73070,74443,71097
"All sectors : New York","million kilowatthours","ELEC.SALES.NY-ALL.A",147372,148914,147803,144992,149930,145600,140407,141424,143211,139422
"All sectors : Pennsylvania","million kilowatthours","ELEC.SALES.PA-ALL.A",146688,146344,145328,142991,148977,145580,139721,143340,145045,138711
"All sectors : East North Central","million kilowatthours","ELEC.SALES.ENC-ALL.A",571971,563527,569557,553784,575593,559352,536700,552387,555931,539367
"All sectors : Illinois","million kilowatthours","ELEC.SALES.IL-ALL.A",141540,138620,141050,137196,142655,138319,132469,135689,135872,130578
"All sectors : Indiana","million kilowatthours","ELEC.SALES.IN-ALL.A",106943,104515,103705,98966,104194,102104,97156,99740,100044,95995
"All sectors : Michigan","million kilowatthours","ELEC.SALES.MI-ALL.A",103314,102480,104468,101899,104869,101249,97012,99813,100639,97589
"All sectors : Ohio","million kilowatthours","ELEC.SALES.OH-ALL.A",150680,149213,150598,146644,152915,148522,142615,147718,149500,146641
"All sectors : Wisconsin","million kilowatthours","ELEC.SALES.WI-ALL.A",69495,68699,69736,69079,70960,69158,67448,69427,69876,68564
"All sectors : West North Central","million kilowatthours","ELEC.SALES.WNC-ALL.A",301178,294806,295255,295637,308478,302838,295591,305983,315811,313923
"All sectors : Iowa","million kilowatthours","ELEC.SALES.IA-ALL.A",47202,47147,48431,48922,51211,51043,50640,52893,54204,54400
"All sectors : Kansas","million kilowatthours","ELEC.SALES.KS-ALL.A",40562,39849,40810,40288,42037,41160,39484,40492,41961,41052
"All sectors : Minnesota","million kilowatthours","ELEC.SALES.MN-ALL.A",68719,66579,66546,67153,68708,66966,64055,66589,66635,66216
"All sectors : Missouri","million kilowatthours","ELEC.SALES.MO-ALL.A",83878,81504,78618,76461,82056,78858,75726,77763,80306,76976
